Cas17927	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
2	-0.57936	-0.68843	0.862832	-0.493715	724.607	4490.68	321.781	0.30321	1.02682	342.345	4412.37	1	1	-1	3158	0	0
2	-0.55571	-1.06602	1.24222	-0.421132	365.266	2436.1	333.809	0.3559	1.07984	363.417	2426.57	1	1	-1	3159	0	0
2	0.46819	-0.66072	0.73886	0.689271	304.824	1690.31	304.379	0.32279	1.49984	344.673	1725.18	1	1	-1	3232	0	0
2	0.53719	-0.41786	0.48713	0.737955	559.822	3817.47	337.535	0.29401	1.09114	352.009	3755.77	1	1	-1	3233	0	0
2	0.36452	-0.42442	0.509578	0.543203	165.33	1543.04	394.883	0.27518	1.3557	324.155	1469.11	1	1	-1	3235	0	0
2	0.40428	-0.8278	0.91355	0.637158	164.819	1629.72	406.451	0.56325	1.17859	307.973	1498.69	1	1	-1	3238	0	0
2	-0.94813	-0.2859	0.48986	-0.96017	480.072	4100.32	377.755	0.33321	1.09398	347.051	3852.74	1	1	-1	3435	0	0
2	-0.98619	-0.52182	0.731743	-0.974656	851.713	5069.34	315.344	0.30889	1.13635	350.336	4998.61	1	1	-1	3437	0	0
2	-0.86299	-0.63336	0.833168	-0.821604	718.039	2955.22	262.226	0.3624	1.05115	385.662	3005.45	1	1	-1	3438	0	0
2	-0.95283	-0.66185	0.870188	-0.919892	667.427	3102	278.66	0.35783	1.04392	398.643	3145.92	1	1	-1	3439	0	0
2	-1.0157	-0.60937	0.822916	-0.997458	503.522	2768.33	303.078	0.39593	1.20021	389.878	2760.05	1	1	-1	3440	0	0
2	-0.91212	-0.65211	0.856615	-0.874969	589.16	3242.02	303.212	0.33048	1.09133	333.429	3305.27	1	1	-1	3442	0	0
2	0.05788	1.43707	-1.34336	-0.0298535	442.264	2168.66	286.227	0.25343	1.09196	363.927	2233.83	1	1	-1	3577	0	0
2	0.11177	1.37212	-1.28267	0.0390545	386.193	2626.12	337.062	0.38778	1.16034	346.858	2598.55	1	1	-1	3578	0	0
2	0.28505	1.43308	-1.36014	0.2279	437.878	2850.43	329.787	0.45289	1.18158	353.169	2880.76	1	1	-1	3759	0	0
2	0.08156	1.42449	-1.33282	-0.00150992	866.737	4936.15	308.465	0.41019	1.03857	338.764	4937.89	1	1	-1	3762	0	0
2	0.03597	1.37467	-1.2783	-0.0470973	524.574	2442.94	278.938	0.33118	1.23571	390.131	2472.72	1	1	-1	3763	0	0
2	-0.00362	1.27124	-1.17016	-0.0793875	400.378	2011.84	289.746	0.35637	1.06981	362.251	2044.72	1	1	-1	3764	0	0
2	0.11058	1.49812	-1.40988	0.0224237	710.145	4392.64	321.473	0.37269	1.24226	350.128	4332.79	1	1	-1	3765	0	0
2	0.76952	-0.81532	0.867479	1.04928	574.997	3530.89	320.306	0.44254	1.17571	374.394	3449.16	1	1	-1	3958	0	0
2	0.56304	-0.84392	0.915294	0.818909	996.788	5951.52	315.841	0.35656	1.04785	353.778	5963.54	1	1	-1	3959	0	0
2	0.67024	-0.7662	0.826938	0.930885	825.016	4977.34	317.485	0.3778	1.12046	357.021	4953.48	1	1	-1	3960	0	0
2	0.66673	-0.78781	0.849097	0.929531	865.35	5769.1	333.744	0.38835	1.1976	328.064	5593.39	1	1	-1	3962	0	0
2	0.60161	-0.78853	0.85579	0.855871	842.185	5167.18	320.168	0.30679	1.01765	340.796	5112.1	1	1	-1	3963	0	0
2	0.65428	-0.72214	0.783878	0.907466	463.241	3580.28	359.344	0.28032	1.06346	326.263	3435.42	1	1	-1	3965	0	0
2	0.63542	-0.74762	0.811352	0.889198	992.714	5677.47	309.115	0.31949	1.12222	341.602	5672.95	1	1	-1	3967	0	0
2	0.75139	-0.73526	0.788239	1.01903	532.867	3382.87	325.678	0.46662	1.06456	342.559	3339.02	1	1	-1	3968	0	0
2	0.67735	-0.9435	1.00545	0.960443	573.526	3551.93	321.67	0.3776	1.12095	340.72	3524.01	1	1	-1	3969	0	0
2	0.58742	-0.62675	0.693611	0.820177	282.823	1677.92	314.835	0.36859	1.07084	337.62	1677.49	1	1	-1	3970	0	0
2	1.07576	0.63016	-0.621233	1.22077	489.832	3146.93	327.624	0.29816	1.05071	325.686	3131.84	1	1	-1	4180	0	0
2	0.92003	0.59131	-0.567708	1.04911	1062.75	7015.37	332.097	0.36116	1.1162	324.001	6823.97	1	1	-1	4182	0	0
2	1.19313	0.38547	-0.384727	1.38336	283.605	1866.26	331.577	0.57877	1.21122	402.559	1875.03	1	1	-1	4183	0	0
2	0.19414	-1.11339	1.22139	0.433816	958.226	4825.3	290.057	0.42627	1.10299	366.077	4869.08	1	1	-1	4204	0	0
2	0.32729	-1.16476	1.2611	0.590838	439.359	1897.16	268.595	0.40638	1.28019	344.017	1971.58	1	1	-1	4205	0	0
2	0.17531	-1.15773	1.26792	0.417869	1181.4	6342.25	299.488	0.36578	1.08299	356.22	6392.51	1	1	-1	4207	0	0
2	0.09856	-1.15373	1.27091	0.330465	1186.86	6055.27	291.959	0.43524	1.01184	367.217	6093.58	1	1	-1	4208	0	0
2	0.08901	-1.11807	1.23575	0.315325	492.382	3085.81	323.585	0.38166	1.00371	330.838	3054.05	1	1	-1	4209	0	0
2	-0.92613	-0.32193	0.524252	-0.930885	205.554	1559.38	356.015	0.39969	1.34857	308.949	1541.27	1	1	-1	4352	0	0
2	-1.02376	0.14687	0.0594747	-1.09832	485.04	2196.77	275.08	0.37063	1.01711	351.447	2234.82	1	1	-1	4459	0	0
2	0.9973	0.31955	-0.300175	1.16959	416.028	1957.45	280.375	0.41883	1.01375	356.987	2311.33	1	1	-1	4550	0	0
2	-0.79198	-0.51762	0.709708	-0.755224	337.217	1727.4	292.548	0.43118	1.68156	386.393	1758.18	1	1	-1	4580	0	0
2	-0.5092	-0.3907	0.555548	-0.450371	452.675	2662.13	313.456	0.35191	1.10262	373.992	2819.2	1	1	-1	4582	0	0
2	-0.68169	-0.41525	0.596159	-0.642738	312.52	2069.37	332.61	0.42652	1.23345	369.392	2085.19	1	1	-1	4583	0	0
2	-0.59019	-0.40324	0.575639	-0.540571	412.988	3014.03	349.189	0.44095	1.00328	346.807	3007.82	1	1	-1	4584	0	0
2	-0.73253	-0.29591	0.480223	-0.714789	440.34	2055.35	279.257	0.36845	1.20124	366.647	2090.81	1	1	-1	4585	0	0
2	-0.73189	-0.33996	0.524677	-0.708721	428.258	3003.44	342.304	0.28467	1.02474	311.365	2960.88	1	1	-1	4587	0	0
2	-0.82945	-0.2103	0.402593	-0.834934	316.762	2774.26	382.527	0.3108	1.28048	320.344	2692.4	1	1	-1	4588	0	0
2	-0.97002	-0.32173	0.528072	-0.980614	181.484	2694.36	498.039	0.37184	1.01759	287.554	2236.16	1	1	-1	4589	0	0
2	0.7618	-0.51495	0.564662	1.0041	338.794	1298.9	253.091	0.23669	1.39527	345.589	1396.27	1	1	-1	4660	0	0
2	0.75719	-0.48694	0.53678	0.995483	766.966	4284.82	305.516	0.31691	1.06592	341.811	4261.71	1	1	-1	4662	0	0
2	0.65639	-0.60243	0.662717	0.895336	815.858	5230.07	327.267	0.47386	1.08993	367.287	5125.83	1	1	-1	4663	0	0
2	0.61824	-0.56848	0.631906	0.848013	764.189	4018.88	296.42	0.40954	1.25588	353.707	4050.32	1	1	-1	4664	0	0
2	0.78203	-0.49031	0.53791	1.02402	517.143	4297.83	372.627	0.34686	1.06748	318.442	4104.96	1	1	-1	4665	0	0
2	0.59679	-0.58616	0.651737	0.825866	696.317	4332.03	322.402	0.44531	1.03037	343.139	4331.53	1	1	-1	4667	0	0
2	0.6509	-0.56033	0.620678	0.884012	691.354	4688.07	336.591	0.4134	1.12078	324.004	4583.91	1	1	-1	4668	0	0
2	0.55983	-0.57867	0.647554	0.7831	378.999	3146.13	372.413	0.39818	1.21573	308.853	2878.68	1	1	-1	4669	0	0
2	-1.13249	-0.66077	0.885558	-1.12348	242.582	2225.23	391.484	0.24667	1.11757	294.889	2041.76	1	1	-1	4708	0	0
2	-0.63896	-0.83682	1.01824	-0.543212	753.764	4958.33	331.516	0.31929	1.10864	382.021	4891.48	1	1	-1	4709	0	0
2	0.01378	-1.10872	1.2332	0.228992	660.331	4261.15	328.351	0.39607	1.07009	328.657	4166.56	1	1	-1	4949	0	0
2	0.02001	-0.84659	0.967742	0.204253	647.412	3039.41	280.065	0.29821	1.27068	349.281	3074.98	1	1	-1	4950	0	0
2	0.08656	-1.13154	1.24958	0.314184	662.343	3391.26	292.479	0.3574	1.07002	359.238	3482.05	1	1	-1	4952	0	0
2	0.21446	-0.62805	0.729093	0.397959	254.096	1697.7	334.109	0.41048	1.03136	359.966	1694.85	1	1	-1	5015	0	0
2	0.08302	-1.23021	1.34962	0.322142	468.861	2177.7	278.568	0.37604	1.09433	354.069	2214.27	1	1	-1	5138	0	0
2	1.09844	-0.0323	0.046104	1.3268	795.75	4536.11	308.609	0.3381	1.10019	380.09	4509.75	1	1	-1	5290	0	0
2	1.08687	0.02211	-0.0078176	1.3071	473.382	3391.16	345.958	0.28017	1.08469	303.085	3271.88	1	1	-1	5292	0	0
2	-0.09483	-1.0767	1.21078	0.102109	682.256	3693.86	300.761	0.41964	1.09305	349.879	3704.02	1	1	-1	5342	0	0
2	0.69289	0.59996	-0.555641	0.790829	524.196	3659.75	341.534	0.30954	1.0806	335.456	3593.59	1	1	-1	5412	0	0
2	-1.08513	-0.52751	0.746557	-1.08602	273.015	1376.47	290.232	0.27872	1.14265	336.773	1422.68	1	1	-1	5813	0	0
2	-0.85725	-0.43614	0.633351	-0.839025	411.707	3062.97	352.56	0.39682	1.06375	330.609	2985.77	1	1	-1	5814	0	0
2	0.66673	-0.82262	0.884272	0.933754	485.033	2324.89	282.99	0.37313	1.10726	350.636	2406.09	1	1	-1	5852	0	0
2	0.63823	-0.78728	0.851172	0.897191	818.635	5518.41	335.596	0.2683	1.08767	302.887	5429.83	1	1	-1	6053	0	0
2	0.60698	-0.75531	0.821729	0.857923	841.652	5762.38	338.213	0.32149	1.00052	315.573	5617.69	1	1	-1	6054	0	0
2	0.7094	-0.85739	0.915498	0.986295	1022.31	5574.84	301.843	0.43025	1.12688	342.765	5579.88	1	1	-1	6055	0	0
2	0.62554	-0.84711	0.912793	0.890077	947.211	6633.6	342.063	0.3533	1.13544	293.186	6486.35	1	1	-1	6057	0	0
2	0.62932	-0.76604	0.830525	0.884524	699.212	4542.84	329.469	0.38319	1.03137	319.751	4516.22	1	1	-1	6058	0	0
2	0.53874	-0.75278	0.825424	0.780334	638.074	3503.6	302.884	0.4034	1.24069	350.011	3524.74	1	1	-1	6059	0	0
2	0.73262	-0.78761	0.842858	1.00413	188.146	2187.23	440.712	0.45683	1.13548	272.548	1968.29	1	1	-1	6062	0	0
2	0.56752	-0.77395	0.84418	0.815495	941.311	5960.86	325.269	0.36206	1.03334	329.17	5926.75	1	1	-1	6063	0	0
2	0.56529	-0.81415	0.885006	0.817846	381.874	2678.59	342.333	0.35145	1.00439	313.837	2674.08	1	1	-1	6064	0	0
2	0.67067	-0.78833	0.849261	0.934057	897.775	5309.49	314.339	0.34587	1.15241	353.119	5285.02	1	1	-1	6065	0	0
2	0.47637	-0.7856	0.864303	0.713682	784.649	4485.55	309.048	0.39234	1.0719	324.962	4452.94	1	1	-1	6067	0	0
2	0.65025	-0.86645	0.930071	0.920406	490.482	2510.6	292.437	0.34481	1.03829	356.789	2552.28	1	1	-1	6068	0	0
2	0.58165	-0.87506	0.945056	0.843761	547.159	3721.1	337.081	0.36998	1.07006	310.672	3664.19	1	1	-1	6069	0	0
2	0.61522	-0.53145	0.594764	0.840102	638.517	4206.77	331.775	0.37082	1.05611	337.498	4125.55	1	1	-1	6269	0	0
2	0.74074	-0.58502	0.637397	0.98875	758.617	4723.11	322.521	0.33458	1.06693	341.137	4578.58	1	1	-1	6270	0	0
